plz,ort,stadtteil,termin,termin_vom,muellart,latitude,longitude,strasse_final
48147,Münster,,2025-05-20,,"Sperrgut und Grünabfall, bitte bis 6:30 Uhr an die Straße stellen",51.9668383,7.6350889,Aakamp
48147,Münster,,2025-06-17,,"Sperrgut und Grünabfall, bitte bis 6:30 Uhr an die Straße stellen",51.9668383,7.6350889,Aakamp
48147,Münster,,2025-07-15,,"Sperrgut und Grünabfall, bitte bis 6:30 Uhr an die Straße stellen",51.9668383,7.6350889,Aakamp
48147,Münster,,2025-08-19,,"Sperrgut und Grünabfall, bitte bis 6:30 Uhr an die Straße stellen",51.9668383,7.6350889,Aakamp
48147,Münster,,2025-09-16,,"Sperrgut und Grünabfall, bitte bis 6:30 Uhr an die Straße stellen",51.9668383,7.6350889,Aakamp
48147,Münster,,2025-10-21,,"Sperrgut und Grünabfall, bitte bis 6:30 Uhr an die Straße stellen",51.9668383,7.6350889,Aakamp
48147,Münster,,2025-11-18,,"Sperrgut und Grünabfall, bitte bis 6:30 Uhr an die Straße stellen",51.9668383,7.6350889,Aakamp
48147,Münster,,2025-12-16,,"Sperrgut und Grünabfall, bitte bis 6:30 Uhr an die Straße stellen",51.9668383,7.6350889,Aakamp
48167,Münster,,2025-05-15,,"Sperrgut und Grünabfall, bitte bis 6:30 Uhr an die Straße stellen",51.926359,7.6652762,Aberdeenweg
48167,Münster,,2025-07-17,,"Sperrgut und Grünabfall, bitte bis 6:30 Uhr an die Straße stellen",51.926359,7.6652762,Aberdeenweg
48167,Münster,,2025-08-21,,"Sperrgut und Grünabfall, bitte bis 6:30 Uhr an die Straße stellen",51.926359,7.6652762,Aberdeenweg
48167,Münster,,2025-09-18,,"Sperrgut und Grünabfall, bitte bis 6:30 Uhr an die Straße stellen",51.926359,7.6652762,Aberdeenweg
48167,Münster,,2025-10-16,,"Sperrgut und Grünabfall, bitte bis 6:30 Uhr an die Straße stellen",51.926359,7.6652762,Aberdeenweg
48167,Münster,,2025-11-20,,"Sperrgut und Grünabfall, bitte bis 6:30 Uhr an die Straße stellen",51.926359,7.6652762,Aberdeenweg
